Idx,Start,End,LR
89,17251,22250,0.0001060 
90,17501,22500,0.0001054 
91,17751,22750,0.0001048 
92,18001,23000,0.0001043 
93,18251,23250,0.0001037 
94,18501,23500,0.0001031 
95,18751,23750,0.0001026 
96,19001,24000,0.0001021 
97,19251,24250,0.0001015 
98,19501,24500,0.0001010 
99,19751,24750,0.0001005 
100,20001,25000,0.0001000 
101,20251,25250,0.0000995 
102,20501,25500,0.0000990 
103,20751,25750,0.0000985 
104,21001,26000,0.0000981 
105,21251,26250,0.0000976 
106,21501,26500,0.0000971 
107,21751,26750,0.0000967 
108,22001,27000,0.0000962 
109,22251,27250,0.0000958 
110,22501,27500,0.0000953 
111,22751,27750,0.0000949 
112,23001,28000,0.0000945 
113,23251,28250,0.0000941 
114,23501,28500,0.0000937 
115,23751,28750,0.0000933 
116,24001,29000,0.0000928 
117,24251,29250,0.0000925 
118,24501,29500,0.0000921 
119,24751,29750,0.0000917 
120,25001,30000,0.0000913 
121,25251,30250,0.0000909 
122,25501,30500,0.0000905 
123,25751,30750,0.0000902 
124,26001,31000,0.0000898 
125,26251,31250,0.0000894 
126,26501,31500,0.0000891 
127,26751,31750,0.0000887 
128,27001,32000,0.0000884 
129,27251,32250,0.0000880 
130,27501,32500,0.0000877 
131,27751,32750,0.0000874 
132,28001,33000,0.0000870 
133,28251,33250,0.0000867 
134,28501,33500,0.0000864 
135,28751,33750,0.0000861 
136,29001,34000,0.0000857 
137,29251,34250,0.0000854 
138,29501,34500,0.0000851 
139,29751,34750,0.0000848 
140,30001,35000,0.0000845 
141,30251,35250,0.0000842 
142,30501,35500,0.0000839 
143,30751,35750,0.0000836 
144,31001,36000,0.0000833 
145,31251,36250,0.0000830 
146,31501,36500,0.0000828 
147,31751,36750,0.0000825 
148,32001,37000,0.0000822 
149,32251,37250,0.0000819 
150,32501,37500,0.0000816 
151,32751,37750,0.0000814 
152,33001,38000,0.0000811 
153,33251,38250,0.0000808 
154,33501,38500,0.0000806 
155,33751,38750,0.0000803 
156,34001,39000,0.0000801 
157,34251,39250,0.0000798 
158,34501,39500,0.0000796 
159,34751,39750,0.0000793 
160,35001,40000,0.0000791 
161,35251,40250,0.0000788 
162,35501,40500,0.0000786 
163,35751,40750,0.0000783 
164,36001,41000,0.0000781 
165,36251,41250,0.0000778 
166,36501,41500,0.0000776 
167,36751,41750,0.0000774 
168,37001,42000,0.0000772 
169,37251,42250,0.0000769 
170,37501,42500,0.0000767 
171,37751,42750,0.0000765 
172,38001,43000,0.0000762 
173,38251,43250,0.0000760 
174,38501,43500,0.0000758 
175,38751,43750,0.0000756 
176,39001,44000,0.0000754 
177,39251,44250,0.0000752 
178,39501,44500,0.0000750 
179,39751,44750,0.0000747 
180,40001,45000,0.0000745 
181,40251,45250,0.0000743 
182,40501,45500,0.0000741 
183,40751,45750,0.0000739 
184,41001,46000,0.0000737 
185,41251,46250,0.0000735 
186,41501,46500,0.0000733 
187,41751,46750,0.0000731 
188,42001,47000,0.0000729 
189,42251,47250,0.0000727 
190,42501,47500,0.0000725 
191,42751,47750,0.0000724 
192,43001,48000,0.0000722 
193,43251,48250,0.0000720 
194,43501,48500,0.0000718 
195,43751,48750,0.0000716 
196,44001,49000,0.0000714 
197,44251,49250,0.0000712 
198,44501,49500,0.0000711 
199,44751,49750,0.0000709 
200,45001,50000,0.0000707 
