Idx,Start,End,LR
1,1,5000,0.0010000 
2,1,5000,0.0007071 
3,1,5000,0.0005774 
4,1,5000,0.0005000 
5,1,5000,0.0004472 
6,1,5000,0.0004082 
7,1,5000,0.0003780 
8,1,5000,0.0003536 
9,1,5000,0.0003333 
10,1,5000,0.0003162 
11,1,5000,0.0003015 
12,1,5000,0.0002887 
13,1,5000,0.0002774 
14,1,5000,0.0002673 
15,1,5000,0.0002582 
16,1,5000,0.0002500 
17,1,5000,0.0002425 
18,1,5000,0.0002357 
19,1,5000,0.0002294 
20,1,5000,0.0002236 
21,251,5250,0.0002182 
22,501,5500,0.0002132 
23,751,5750,0.0002085 
24,1001,6000,0.0002041 
25,1251,6250,0.0002000 
26,1501,6500,0.0001961 
27,1751,6750,0.0001925 
28,2001,7000,0.0001890 
29,2251,7250,0.0001857 
30,2501,7500,0.0001826 
31,2751,7750,0.0001796 
32,3001,8000,0.0001768 
33,3251,8250,0.0001741 
34,3501,8500,0.0001715 
35,3751,8750,0.0001690 
36,4001,9000,0.0001667 
37,4251,9250,0.0001644 
38,4501,9500,0.0001622 
39,4751,9750,0.0001601 
40,5001,10000,0.0001581 
41,5251,10250,0.0001562 
42,5501,10500,0.0001543 
43,5751,10750,0.0001525 
44,6001,11000,0.0001508 
45,6251,11250,0.0001491 
46,6501,11500,0.0001474 
47,6751,11750,0.0001459 
48,7001,12000,0.0001443 
49,7251,12250,0.0001429 
50,7501,12500,0.0001414 
51,7751,12750,0.0001400 
52,8001,13000,0.0001387 
53,8251,13250,0.0001374 
54,8501,13500,0.0001361 
55,8751,13750,0.0001348 
56,9001,14000,0.0001336 
57,9251,14250,0.0001325 
58,9501,14500,0.0001313 
59,9751,14750,0.0001302 
60,10001,15000,0.0001291 
61,10251,15250,0.0001280 
62,10501,15500,0.0001270 
63,10751,15750,0.0001260 
64,11001,16000,0.0001250 
65,11251,16250,0.0001240 
66,11501,16500,0.0001231 
67,11751,16750,0.0001222 
68,12001,17000,0.0001213 
69,12251,17250,0.0001204 
70,12501,17500,0.0001195 
71,12751,17750,0.0001187 
72,13001,18000,0.0001179 
73,13251,18250,0.0001170 
74,13501,18500,0.0001162 
75,13751,18750,0.0001155 
76,14001,19000,0.0001147 
77,14251,19250,0.0001140 
78,14501,19500,0.0001132 
79,14751,19750,0.0001125 
80,15001,20000,0.0001118 
81,15251,20250,0.0001111 
82,15501,20500,0.0001104 
83,15751,20750,0.0001098 
84,16001,21000,0.0001091 
85,16251,21250,0.0001085 
86,16501,21500,0.0001078 
87,16751,21750,0.0001072 
88,17001,22000,0.0001066 
